alpha,batch_size,depth,learning_rate_init,width,acc,bal_acc,f1,precision,generalization_score,time_init,time_final,score
0.00027825593,64,2,0.0059948424,101,0.7306666666666667,0.5719298245614035,0.5764297841682022,0.5982747248271442,0.7306666666666667,1746901770.4050088,1746901770.4571164,0.8053811659192824
0.0021544348,25,3,1.0,64,0.76,0.5,0.4318181818181818,0.38,0.76,1746901770.4584455,1746901770.508635,0.7623318385650224
0.016681006,40,2,0.27825594,25,0.76,0.5342105263157895,0.5034020555776653,0.5741128343408762,0.76,1746901770.5108244,1746901770.5600693,0.7641255605381165
7.742637e-08,4,3,0.07742637,645,0.76,0.5,0.4318181818181818,0.38,0.76,1746901770.5621512,1746901770.6103635,0.7623318385650224
1.0,101,2,0.07742637,25,0.7466666666666667,0.5482456140350876,0.541569427025621,0.6001959739119529,0.7466666666666667,1746901770.6124194,1746901770.6615322,0.7838565022421525
4.641589e-06,40,3,0.0059948424,101,0.7440000000000001,0.5921052631578947,0.5999811505776292,0.6262769309543503,0.7440000000000001,1746901843.1604466,1746901843.2103271,0.8053811659192827
0.12915497,101,1,0.0016681006,40,0.7573333333333334,0.5894736842105263,0.5972068726101909,0.6412878787878786,0.7573333333333334,1746901873.7408068,1746901873.7899644,0.7946188340807174
7.742637e-08,4,1,1.0,16,0.76,0.5,0.4318181818181818,0.38,0.76,1746902019.8529255,1746902019.9031253,0.7623318385650224
0.0021544348,40,2,0.27825594,25,0.7573333333333334,0.5324561403508772,0.4888953248427752,0.4975503766478343,0.7573333333333334,1746902059.4804254,1746902059.530216,0.7524663677130045
7.742637e-08,64,3,0.00012915497,406,0.7600000000000001,0.5988304093567252,0.6080144166560828,0.6503371729077375,0.7600000000000001,1746902093.8653421,1746902093.9150398,0.8089686098654708
0.0021544348,25,2,0.00012915497,406,0.76,0.5988304093567252,0.6081734764442327,0.6510092395167022,0.76,1746902124.7125933,1746902124.7623506,0.7919282511210762
0.0021544348,25,3,0.00012915497,406,0.7440000000000001,0.5807017543859649,0.5861876752090811,0.6202613618855318,0.7440000000000001,1746902172.5368404,1746902172.593714,0.8044843049327353
4.641589e-06,40,2,0.00012915497,406,0.7626666666666667,0.6005847953216374,0.61032037470726,0.6584593837535014,0.7626666666666667,1746902217.4499593,1746902217.500615,0.7919282511210762
4.641589e-06,40,3,0.00012915497,406,0.7466666666666667,0.578654970760234,0.5845152619725897,0.6236063681376934,0.7466666666666667,1746902270.2129285,1746902270.2643166,0.8035874439461883
7.742637e-08,64,3,0.00012915497,406,0.7600000000000001,0.5988304093567252,0.6080144166560828,0.6503371729077375,0.7600000000000001,1746902313.387701,1746902313.4383497,0.8089686098654708
