alpha,batch_size,depth,learning_rate_init,width,acc,bal_acc,f1,precision,generalization_score,time_init,time_final,score
3.5938137e-05,64,1,0.0004641589,25,0.7546666666666668,0.5839181286549707,0.5899722882709645,0.633167495854063,0.7546666666666668,1747215229.3218813,1747215229.3629584,0.7928251121076234
7.742637e-08,10,2,0.0016681006,161,0.7493333333333334,0.591812865497076,0.600878634291879,0.634921540153395,0.7493333333333334,1747215229.3638618,1747215229.400902,0.8071748878923767
3.5938137e-05,64,1,0.27825594,16,0.744,0.5616959064327485,0.5598475694751486,0.6041943503356547,0.744,1747215229.4024022,1747215229.4404187,0.77847533632287
0.0021544348,25,2,3.5938137e-05,40,0.7546666666666668,0.5801169590643275,0.5854548612377679,0.633058420337832,0.7546666666666668,1747215229.441822,1747215229.4786196,0.7838565022421525
0.016681006,256,2,0.021544347,645,0.752,0.5935672514619883,0.6027967302124015,0.6552484303827841,0.752,1747215229.4800305,1747215229.5167093,0.8017937219730941
3.5938137e-05,4,3,0.00012915497,1024,0.736,0.5868421052631579,0.5911660295927725,0.614742362874823,0.736,1747215375.6492045,1747215375.6865928,0.8143497757847532
7.742637e-08,64,1,1e-05,256,0.752,0.5137426900584795,0.474567912188804,0.5476238527052727,0.752,1747215410.5847466,1747215410.6221905,0.7721973094170403
0.0021544348,4,3,0.00012915497,1024,0.7386666666666667,0.5809941520467837,0.5863504475971548,0.6116179463457689,0.7386666666666667,1747215443.1971784,1747215443.2345595,0.8116591928251122
7.742637e-08,4,1,1e-05,25,0.7386666666666666,0.5201754385964912,0.4950653970791926,0.5177694728767561,0.7386666666666666,1747215473.824457,1747215473.8617165,0.7748878923766815
0.0021544348,4,3,0.00012915497,1024,0.7386666666666667,0.5809941520467837,0.5863504475971548,0.6116179463457689,0.7386666666666667,1747215513.4943945,1747215513.5328422,0.8116591928251122
7.742637e-08,4,2,1e-05,161,0.76,0.5950292397660819,0.604392760786943,0.6490277777777778,0.76,1747215543.5424814,1747215543.5799646,0.7964125560538116
7.742637e-08,64,2,1e-05,256,0.7413333333333334,0.5523391812865497,0.5510607319538869,0.5974868463893924,0.7413333333333334,1747215577.6208649,1747215577.658257,0.7847533632286996
7.742637e-08,256,1,1e-05,256,0.752,0.5099415204678363,0.4648673828097183,0.5418841698841699,0.752,1747215616.2000058,1747215616.237404,0.7739910313901345
0.0021544348,4,2,0.00012915497,645,0.7573333333333334,0.5970760233918129,0.6061028498653449,0.6451370851370851,0.7573333333333334,1747215647.6403997,1747215647.6788797,0.7928251121076234
0.0021544348,16,3,0.00012915497,1024,0.744,0.5883040935672514,0.5950580511949513,0.6224317796898442,0.744,1747215703.205036,1747215703.242915,0.8125560538116592
0.0021544348,10,3,0.00012915497,1024,0.744,0.5845029239766082,0.591575548559603,0.6263333932626566,0.744,1747215747.5982683,1747215747.635951,0.8179372197309418
0.0021544348,25,2,0.00012915497,1024,0.7546666666666667,0.5991228070175438,0.6085207459173234,0.6421888528138529,0.7546666666666667,1747215795.9246132,1747215795.9626167,0.7901345291479821
7.742637e-08,4,3,1e-05,645,0.7626666666666667,0.6043859649122807,0.6152987792905635,0.6601438222846805,0.7626666666666667,1747215843.9014676,1747215843.9392428,0.7946188340807174
0.0021544348,25,3,0.00012915497,1024,0.7306666666666667,0.57953216374269,0.5854867513332356,0.6055538614611196,0.7306666666666667,1747215893.0656972,1747215893.102289,0.8089686098654708
3.5938137e-05,4,3,0.00012915497,1024,0.736,0.5868421052631579,0.5911660295927725,0.614742362874823,0.736,1747215944.665051,1747215944.7014868,0.8143497757847532
3.5938137e-05,4,2,0.00012915497,40,0.7626666666666667,0.6043859649122807,0.6152102856288579,0.6567478354978356,0.7626666666666667,1747216000.4927514,1747216000.529794,0.7892376681614349
3.5938137e-05,4,2,0.00012915497,1024,0.752,0.6011695906432749,0.6100847385034358,0.6432652353114354,0.752,1747216056.6160543,1747216056.652364,0.7964125560538117
7.742637e-08,16,3,1e-05,161,0.7573333333333334,0.5894736842105263,0.5976150485913978,0.642260101010101,0.7573333333333334,1747216106.1032343,1747216106.1404793,0.7937219730941704
0.0021544348,64,2,0.00012915497,645,0.7626666666666666,0.6005847953216374,0.6112589666441934,0.6591914413322996,0.7626666666666666,1747216163.1061552,1747216163.154801,0.7946188340807175
0.0021544348,64,2,1e-05,256,0.7413333333333334,0.5523391812865497,0.5510607319538869,0.5974868463893924,0.7413333333333334,1747216229.8108904,1747216229.8468075,0.7856502242152467
3.5938137e-05,4,2,0.00012915497,645,0.744,0.5959064327485379,0.6011720616293649,0.6271759649431673,0.744,1747216287.1357827,1747216287.1722202,0.7955156950672646
0.0021544348,4,3,0.00012915497,1024,0.7386666666666667,0.5809941520467837,0.5863504475971548,0.6116179463457689,0.7386666666666667,1747216343.9113803,1747216343.9489875,0.8116591928251122
0.0021544348,10,3,0.00012915497,256,0.728,0.5777777777777777,0.5833778687922174,0.6036124383647133,0.728,1747216400.1724586,1747216400.2276475,0.7964125560538117
0.0021544348,4,3,0.00012915497,1024,0.7386666666666667,0.5809941520467837,0.5863504475971548,0.6116179463457689,0.7386666666666667,1747216478.234097,1747216478.270447,0.8116591928251122
0.0021544348,4,3,0.00012915497,1024,0.7386666666666667,0.5809941520467837,0.5863504475971548,0.6116179463457689,0.7386666666666667,1747216556.6317406,1747216556.6683857,0.8116591928251122
3.5938137e-05,4,3,0.00012915497,1024,0.736,0.5868421052631579,0.5911660295927725,0.614742362874823,0.736,1747216619.4768214,1747216619.5129206,0.8143497757847532
0.0021544348,4,3,0.00012915497,1024,0.7386666666666667,0.5809941520467837,0.5863504475971548,0.6116179463457689,0.7386666666666667,1747216691.0678778,1747216691.104105,0.8116591928251122
3.5938137e-05,25,3,0.00012915497,1024,0.736,0.5792397660818713,0.584561485060733,0.6092597342944381,0.736,1747216774.9581473,1747216774.9944987,0.811659192825112
0.0021544348,4,3,0.00012915497,1024,0.7386666666666667,0.5809941520467837,0.5863504475971548,0.6116179463457689,0.7386666666666667,1747216838.5234215,1747216838.56055,0.8116591928251122
3.5938137e-05,16,3,0.00012915497,1024,0.7226666666666667,0.5780701754385965,0.5824302953209338,0.5956738975112135,0.7226666666666667,1747216904.7613883,1747216904.7982447,0.8125560538116593
0.0021544348,16,3,0.00012915497,1024,0.744,0.5883040935672514,0.5950580511949513,0.6224317796898442,0.744,1747216986.7344763,1747216986.7718923,0.8125560538116592
3.5938137e-05,4,2,0.00012915497,1024,0.752,0.6011695906432749,0.6100847385034358,0.6432652353114354,0.752,1747217061.2610102,1747217061.297253,0.7964125560538117
