alpha,batch_size,depth,learning_rate_init,width,acc,bal_acc,f1,precision,generalization_score,time_init,time_final,score
3.5938137e-05,4,2,0.0016681006,101,0.7573333333333333,0.6008771929824562,0.6097985178304279,0.6454309680015324,0.7573333333333333,1747219418.203487,1747219418.243737,0.8044843049327353
4.641589e-06,10,2,0.0004641589,40,0.7626666666666666,0.6005847953216374,0.610393389139961,0.6591490838383628,0.7626666666666666,1747219418.24466,1747219418.2806056,0.7910313901345292
0.0021544348,40,1,0.0059948424,40,0.7653333333333334,0.6023391812865497,0.6130180084733059,0.6606818181818181,0.7653333333333334,1747219418.2821348,1747219418.3189676,0.7883408071748879
0.016681006,161,2,0.27825594,25,0.7573333333333334,0.5476608187134502,0.523257988851072,0.5320118724559023,0.7573333333333334,1747219418.320399,1747219418.3598423,0.779372197309417
0.00027825593,6,2,3.5938137e-05,25,0.752,0.5783625730994152,0.5836027520566265,0.6273720413086085,0.752,1747219418.3612607,1747219418.3980665,0.7865470852017937
0.0021544348,40,1,0.0059948424,40,0.7653333333333334,0.6023391812865497,0.6130180084733059,0.6606818181818181,0.7653333333333334,1747219447.0876164,1747219447.1250498,0.7883408071748879
3.5938137e-05,10,1,0.00012915497,16,0.7440000000000001,0.5616959064327485,0.5632209193075169,0.6066885270616614,0.7440000000000001,1747219487.5979817,1747219487.6344147,0.788340807174888
3.5938137e-05,4,1,0.00012915497,16,0.7493333333333334,0.5728070175438597,0.5763681677174002,0.6192516583747927,0.7493333333333334,1747219518.405831,1747219518.4429636,0.789237668161435
4.641589e-06,10,3,0.00012915497,16,0.7600000000000001,0.5950292397660819,0.6043927607869429,0.6490277777777779,0.7600000000000001,1747219557.0516522,1747219557.0894473,0.788340807174888
4.641589e-06,10,3,0.00012915497,16,0.7600000000000001,0.5950292397660819,0.6043927607869429,0.6490277777777779,0.7600000000000001,1747219599.9245267,1747219599.9621916,0.788340807174888
4.641589e-06,4,3,0.00012915497,40,0.76,0.6026315789473684,0.6128795643976479,0.6536099742551356,0.76,1747219644.833925,1747219644.8721054,0.7919282511210761
4.641589e-06,4,3,0.00012915497,40,0.76,0.6026315789473684,0.6128795643976479,0.6536099742551356,0.76,1747219686.6946836,1747219686.7324178,0.7919282511210761
4.641589e-06,4,3,0.00012915497,40,0.76,0.6026315789473684,0.6128795643976479,0.6536099742551356,0.76,1747219715.521301,1747219715.559462,0.7919282511210761
4.641589e-06,4,3,0.00012915497,40,0.76,0.6026315789473684,0.6128795643976479,0.6536099742551356,0.76,1747219756.8179467,1747219756.864924,0.7919282511210761
4.641589e-06,4,3,0.00012915497,40,0.76,0.6026315789473684,0.6128795643976479,0.6536099742551356,0.76,1747219805.1849144,1747219805.2352715,0.7919282511210761
4.641589e-06,256,3,0.00012915497,40,0.7573333333333334,0.585672514619883,0.5918243974521059,0.6388538748832866,0.7573333333333334,1747219837.7885253,1747219837.8259375,0.791031390134529
3.5938137e-05,4,1,0.00012915497,16,0.7493333333333334,0.5728070175438597,0.5763681677174002,0.6192516583747927,0.7493333333333334,1747219870.4734552,1747219870.5103204,0.789237668161435
3.5938137e-05,4,1,0.00012915497,16,0.7493333333333334,0.5728070175438597,0.5763681677174002,0.6192516583747927,0.7493333333333334,1747219911.4589264,1747219911.4960017,0.789237668161435
4.641589e-06,4,3,0.00012915497,40,0.76,0.6026315789473684,0.6128795643976479,0.6536099742551356,0.76,1747219965.3772357,1747219965.4148314,0.7919282511210761
4.641589e-06,64,2,0.00012915497,101,0.7653333333333334,0.606140350877193,0.6175400091968261,0.6615909090909091,0.7653333333333334,1747220013.0722094,1747220013.108757,0.7910313901345292
4.641589e-06,4,3,0.00012915497,40,0.76,0.6026315789473684,0.6128795643976479,0.6536099742551356,0.76,1747220057.0928023,1747220057.1308708,0.7919282511210761
4.641589e-06,256,3,0.00012915497,40,0.7573333333333334,0.585672514619883,0.5918243974521059,0.6388538748832866,0.7573333333333334,1747220109.6847239,1747220109.7224863,0.791031390134529
4.641589e-06,64,2,0.00012915497,101,0.7653333333333334,0.606140350877193,0.6175400091968261,0.6615909090909091,0.7653333333333334,1747220174.0515907,1747220174.0884528,0.7910313901345292
3.5938137e-05,4,3,0.00012915497,40,0.76,0.6026315789473684,0.6128795643976479,0.6536099742551356,0.76,1747220215.592524,1747220215.6398287,0.7919282511210763
4.641589e-06,256,3,0.00012915497,40,0.7573333333333334,0.585672514619883,0.5918243974521059,0.6388538748832866,0.7573333333333334,1747220266.9580119,1747220266.9953098,0.791031390134529
4.641589e-06,10,2,0.00012915497,40,0.7653333333333334,0.606140350877193,0.6175400091968261,0.6615909090909091,0.7653333333333334,1747220318.866153,1747220318.9209242,0.7901345291479821
0.0021544348,10,2,0.00012915497,16,0.76,0.5912280701754385,0.5988206270453974,0.6458073270013569,0.76,1747220370.475729,1747220370.5120935,0.7910313901345292
4.641589e-06,4,3,0.00012915497,40,0.76,0.6026315789473684,0.6128795643976479,0.6536099742551356,0.76,1747220443.2597356,1747220443.2968948,0.7919282511210761
4.641589e-06,64,1,0.00012915497,101,0.7493333333333334,0.5690058479532163,0.5714425647029964,0.6181703606363396,0.7493333333333334,1747220499.2373273,1747220499.2935212,0.7874439461883409
4.641589e-06,4,3,0.00012915497,40,0.76,0.6026315789473684,0.6128795643976479,0.6536099742551356,0.76,1747220570.2833643,1747220570.3196528,0.7919282511210761
4.641589e-06,64,1,0.00012915497,101,0.7493333333333334,0.5690058479532163,0.5714425647029964,0.6181703606363396,0.7493333333333334,1747220619.2838502,1747220619.3190575,0.7874439461883409
