colsample_bytree,eta,max_depth,reg_lambda,acc,bal_acc,f1,precision,generalization_score,time_init,time_final,score
0.6000000238418579,0.09921256452798843,13.0,2.1601195335388184,0.7440000000000001,0.6111111111111112,0.6179502637063843,0.6353785250719263,0.7440000000000001,1746963842.03843,1746963842.0577552,0.8439461883408071
0.5,0.09921256452798843,8.0,219.45445251464844,0.76,0.6064327485380117,0.6158723316460222,0.6535264735264734,0.76,1746963842.0585504,1746963842.0704212,0.799103139013453
1.0,0.009843133389949799,20.0,2.1601195335388184,0.736,0.5906432748538012,0.5957817456357307,0.6160646690755717,0.736,1746963842.0716007,1746963842.083395,0.8448430493273543
0.6000000238418579,0.4629373550415039,2.0,0.004556754138320684,0.7733333333333333,0.6380116959064328,0.6495936510965359,0.6818144504898578,0.7733333333333333,1746963842.0844674,1746963842.0963619,0.8125560538116593
0.10000000149011612,0.21431098878383636,20.0,219.45445251464844,0.776,0.6169590643274854,0.6303107533782661,0.684244227994228,0.776,1746963842.0974503,1746963842.1092923,0.7955156950672646
0.10000000149011612,0.0009765625,1.0,0.0009765625,0.7733333333333334,0.6152046783625731,0.6281417442636481,0.6797654853438435,0.7733333333333334,1746963884.0393465,1746963884.0590901,0.7991031390134529
0.800000011920929,0.02126234397292137,32.0,10.079368591308594,0.7413333333333334,0.5903508771929825,0.596983159082095,0.6216305693249109,0.7413333333333334,1746963921.6881208,1746963921.7011416,0.8448430493273543
0.8999999761581421,0.21431098878383636,13.0,47.0315055847168,0.7546666666666666,0.6029239766081872,0.612470224501645,0.6467949859647374,0.7546666666666666,1746963957.0361354,1746963957.048959,0.8322869955156952
0.8999999761581421,0.0021094917319715023,13.0,2.1601195335388184,0.7466666666666667,0.6090643274853801,0.6163570916864844,0.6364076996526983,0.7466666666666667,1746963987.3740153,1746963987.3864076,0.8457399103139014
0.8999999761581421,0.045929204672575,8.0,47.0315055847168,0.76,0.610233918128655,0.6204151397558823,0.6555771873698896,0.76,1746964020.6201212,1746964020.6330163,0.831390134529148
0.5,0.09921256452798843,13.0,2.1601195335388184,0.7440000000000001,0.6111111111111112,0.6179502637063843,0.6353785250719263,0.7440000000000001,1746964054.794145,1746964054.8069334,0.8439461883408071
0.800000011920929,0.004556754138320684,2.0,0.0009765625,0.76,0.6292397660818713,0.6390446298426613,0.6600121008466965,0.76,1746964094.3996575,1746964094.411832,0.822421524663677
0.4000000059604645,0.009843133389949799,8.0,0.004556754138320684,0.7706666666666667,0.6438596491228069,0.6533275504410301,0.6811098049690807,0.7706666666666667,1746964121.7170064,1746964121.7292666,0.8
0.800000011920929,0.09921256452798843,13.0,2.1601195335388184,0.7466666666666667,0.6090643274853801,0.6163570916864844,0.6364076996526983,0.7466666666666667,1746964153.1266859,1746964153.138891,0.8457399103139014
0.6000000238418579,0.009843133389949799,13.0,2.1601195335388184,0.7440000000000001,0.6111111111111112,0.6179502637063843,0.6353785250719263,0.7440000000000001,1746964177.6469307,1746964177.6594439,0.8439461883408071
0.5,0.0021094917319715023,13.0,47.0315055847168,0.7493333333333333,0.5994152046783626,0.6080346049578368,0.6360784455606969,0.7493333333333333,1746964211.1767132,1746964211.1897295,0.8242152466367714
0.6000000238418579,0.09921256452798843,13.0,2.1601195335388184,0.7440000000000001,0.6111111111111112,0.6179502637063843,0.6353785250719263,0.7440000000000001,1746964244.9380097,1746964244.9507115,0.8439461883408071
0.5,0.09921256452798843,13.0,2.1601195335388184,0.7440000000000001,0.6111111111111112,0.6179502637063843,0.6353785250719263,0.7440000000000001,1746964276.2798374,1746964276.2919734,0.8439461883408071
0.6000000238418579,0.09921256452798843,8.0,2.1601195335388184,0.7546666666666666,0.6143274853801168,0.6240431807829927,0.6501438492063492,0.7546666666666666,1746964305.047249,1746964305.0665324,0.841255605381166
0.800000011920929,0.09921256452798843,13.0,2.1601195335388184,0.7466666666666667,0.6090643274853801,0.6163570916864844,0.6364076996526983,0.7466666666666667,1746964335.0704303,1746964335.082748,0.8457399103139014
0.6000000238418579,0.09921256452798843,13.0,2.1601195335388184,0.7440000000000001,0.6111111111111112,0.6179502637063843,0.6353785250719263,0.7440000000000001,1746964372.6803486,1746964372.693267,0.8439461883408071
0.5,0.009843133389949799,8.0,2.1601195335388184,0.7546666666666666,0.6143274853801168,0.6240431807829927,0.6501438492063492,0.7546666666666666,1746964422.4396327,1746964422.4519653,0.841255605381166
0.699999988079071,0.09921256452798843,8.0,47.0315055847168,0.7573333333333333,0.6084795321637427,0.6180034722283103,0.648128968026509,0.7573333333333333,1746964466.071017,1746964466.0837543,0.8251121076233184
0.8999999761581421,0.009843133389949799,13.0,2.1601195335388184,0.7466666666666667,0.6090643274853801,0.6163570916864844,0.6364076996526983,0.7466666666666667,1746964507.3733044,1746964507.386024,0.8457399103139014
0.6000000238418579,0.09921256452798843,8.0,2.1601195335388184,0.7546666666666666,0.6143274853801168,0.6240431807829927,0.6501438492063492,0.7546666666666666,1746964555.9866967,1746964555.9991536,0.841255605381166
0.6000000238418579,0.09921256452798843,13.0,2.1601195335388184,0.7440000000000001,0.6111111111111112,0.6179502637063843,0.6353785250719263,0.7440000000000001,1746964593.4655929,1746964593.4781697,0.8439461883408071
0.699999988079071,0.09921256452798843,13.0,2.1601195335388184,0.7440000000000001,0.6111111111111112,0.6179502637063843,0.6353785250719263,0.7440000000000001,1746964631.5512946,1746964631.5637581,0.8439461883408071
