average_accuracy,std_dev_accuracy
0.7475555555555556,0.014686854792762955
0.7573333333333334,0.007055336829505512
0.7564444444444445,0.011102218663819413
0.7573333333333334,0.002666666666666595
0.7502222222222222,0.003079201435677985
0.7591111111111112,0.0015396007178389607
0.7600000000000001,0.007055336829505616
0.7582222222222222,0.010777205024873004
0.7475555555555555,0.028513804324169643
0.7617777777777778,0.008572134009771538
0.7528888888888888,0.014686854792762927
0.7546666666666667,0.011623730516108443
0.7608888888888888,0.004073400617738524
0.7626666666666666,0.0026666666666666505
0.7564444444444445,0.001539600717839025
0.7537777777777778,0.015396007178390087
0.7502222222222222,0.012602175003340306
0.7644444444444445,0.006710963942462818
0.7431111111111112,0.026975983831988556
0.752888888888889,0.010777205024873072
0.7484444444444445,0.011102218663819413
0.7573333333333334,0.01748650273147204
0.7511111111111112,0.01110221866381929
0.7555555555555555,0.010095837059200509
0.7182222222222222,0.044965830648681725
0.7377777777777778,0.01929114170152062
0.7573333333333334,0.004618802153516914
0.7484444444444444,0.017755541649278388
0.7360000000000001,0.013856406460550998
0.7448888888888888,0.01315435429950997
0.7591111111111112,0.008146801235477109
0.7431111111111112,0.010777205024873077
0.6533333333333333,0.1574011153426529
0.7617777777777778,0.006710963942462877
0.7395555555555555,0.017755541649278415
0.7537777777777778,0.0030792014356780177
0.7546666666666667,0.011623730516108443
0.7502222222222222,0.005551109331909663
0.7635555555555555,0.009365025558091346
0.7493333333333334,0.014110673659011128
0.7662222222222222,0.005551109331909752
0.7528888888888888,0.014686854792762964
0.7537777777777777,0.012602175003340307
0.7440000000000001,0.009614803401237262
0.7120000000000001,0.08318119445590523
0.7484444444444445,0.006158402871356002
0.7555555555555555,0.007698003589194995
0.7546666666666667,0.013856406460551031
0.7617777777777778,0.001539600717839057
0.7413333333333334,0.01748650273147198
0.7511111111111112,0.010095837059200509
0.7582222222222222,0.003079201435678082
0.7271111111111113,0.06181453742475987
0.7520000000000001,0.010666666666666713
0.7564444444444445,0.008572134009771555
0.7475555555555555,0.011102218663819413
0.7573333333333334,0.004618802153517011
0.7431111111111112,0.012602175003340306
0.7502222222222222,0.018730051116182585
0.7502222222222222,0.018730051116182644
0.7564444444444446,0.006158402871356003
0.7297777777777777,0.022679734794974375
0.7582222222222222,0.007698003589194932
0.7244444444444444,0.05940943932980246
0.7537777777777778,0.015396007178389959
