max_depth,max_features,min_samples_leaf,min_samples_split,acc,bal_acc,f1,precision,generalization_score,time_init,time_final,score
20.0,1.0,11.0,80.0,0.7813333333333334,0.6242690058479532,0.6396343000945675,0.6965877525252524,0.7813333333333334,1746960534.2162516,1746960534.2359977,0.7856502242152467
13.0,0.0,3.0,3.0,0.7786666666666666,0.6149122807017544,0.629148924990554,0.6935279459346624,0.7786666666666666,1746960567.2991385,1746960567.311858,0.8062780269058296
5.0,1.0,9.0,80.0,0.7813333333333334,0.6242690058479532,0.6396343000945675,0.6965877525252524,0.7813333333333334,1746960590.3391216,1746960590.3515215,0.7874439461883408
5.0,1.0,3.0,80.0,0.7813333333333334,0.6242690058479532,0.6396343000945675,0.6965877525252524,0.7813333333333334,1746960629.929807,1746960629.9426706,0.7865470852017937
8.0,0.0,13.0,50.0,0.7626666666666666,0.5701754385964912,0.570407983820269,0.6466547689309837,0.7626666666666666,1746960658.8984785,1746960658.9108846,0.7829596412556054
1.0,1.0,3.0,20.0,0.76,0.5,0.4318181818181818,0.38,0.76,1746960687.626093,1746960687.6387107,0.7623318385650224
13.0,0.0,7.0,80.0,0.7626666666666666,0.5549707602339181,0.5449559865305196,0.6510361481411695,0.7626666666666666,1746960724.7546413,1746960724.7672153,0.779372197309417
8.0,0.0,15.0,20.0,0.768,0.5888888888888889,0.596116600239524,0.6620907009778826,0.768,1746960764.1715574,1746960764.1841385,0.7856502242152467
13.0,0.0,9.0,3.0,0.7706666666666667,0.5982456140350877,0.6075974372155899,0.6704287017330495,0.7706666666666667,1746960808.4145546,1746960808.4270976,0.7937219730941704
5.0,0.0,3.0,80.0,0.7600000000000001,0.5456140350877192,0.532753902738741,0.6422874644216876,0.7600000000000001,1746960835.9860177,1746960835.9984484,0.779372197309417
13.0,1.0,15.0,50.0,0.784,0.6298245614035087,0.6459095677652769,0.7011798271173271,0.784,1746960870.1980858,1746960870.220138,0.7874439461883409
8.0,1.0,3.0,3.0,0.7733333333333333,0.6114035087719298,0.6236674157660217,0.6797550154033363,0.7733333333333333,1746960936.267547,1746960936.2802086,0.8098654708520179
5.0,1.0,3.0,3.0,0.776,0.6093567251461988,0.6203549747876531,0.6822223594642072,0.776,1746960975.6828344,1746960975.69562,0.7946188340807174
5.0,1.0,1.0,3.0,0.7733333333333334,0.6076023391812865,0.6180992633156281,0.6763637736056214,0.7733333333333334,1746961023.3880537,1746961023.400117,0.8008968609865471
20.0,1.0,1.0,20.0,0.7813333333333334,0.6242690058479532,0.6396343000945675,0.6965877525252524,0.7813333333333334,1746961064.2110584,1746961064.2290902,0.7991031390134529
32.0,1.0,15.0,50.0,0.784,0.6298245614035087,0.6459095677652769,0.7011798271173271,0.784,1746961093.4555492,1746961093.467824,0.7874439461883409
5.0,1.0,1.0,2.0,0.7733333333333334,0.6076023391812865,0.6180992633156281,0.6763637736056214,0.7733333333333334,1746961141.026519,1746961141.038832,0.8
5.0,1.0,3.0,50.0,0.7786666666666668,0.6187134502923977,0.6328565878990222,0.6898200757575756,0.7786666666666668,1746961186.1209414,1746961186.1332831,0.7919282511210761
20.0,1.0,15.0,80.0,0.7786666666666666,0.6225146198830409,0.6371273663601247,0.6896413655788656,0.7786666666666666,1746961231.298758,1746961231.311049,0.7856502242152466
5.0,0.0,15.0,20.0,0.7653333333333333,0.5833333333333333,0.5897433813146135,0.6588641231463882,0.7653333333333333,1746961278.0641248,1746961278.07673,0.7838565022421524
13.0,1.0,5.0,3.0,0.7786666666666666,0.6187134502923977,0.632653167207698,0.6914826570610153,0.7786666666666666,1746961326.4027708,1746961326.4150577,0.800896860986547
3.0,0.0,15.0,20.0,0.7546666666666666,0.5269005847953216,0.49844472220286173,0.594747660867007,0.7546666666666666,1746961368.5062964,1746961368.518521,0.768609865470852
8.0,0.0,11.0,20.0,0.768,0.5926900584795322,0.6010709472824627,0.6647488260531738,0.768,1746961423.1277027,1746961423.1443586,0.7901345291479821
