alpha,batch_size,depth,learning_rate_init,width,acc,bal_acc,f1,precision,generalization_score,time_init,time_final,score
0.00027825593,64,2,0.0059948424,101,0.7306666666666667,0.5719298245614035,0.5764297841682022,0.5982747248271442,0.7306666666666667,1746698390.215691,1746698390.2715447,0.8053811659192824
0.0021544348,25,3,1.0,64,0.76,0.5,0.4318181818181818,0.38,0.76,1746698390.27329,1746698390.326376,0.7623318385650224
0.016681006,40,2,0.27825594,25,0.76,0.5342105263157895,0.5034020555776653,0.5741128343408762,0.76,1746698390.3288279,1746698390.3853688,0.7641255605381165
7.742637e-08,4,3,0.07742637,645,0.76,0.5,0.4318181818181818,0.38,0.76,1746698390.387925,1746698390.4455323,0.7623318385650224
1.0,101,2,0.07742637,25,0.7466666666666667,0.5482456140350876,0.541569427025621,0.6001959739119529,0.7466666666666667,1746698390.448025,1746698390.5031397,0.7838565022421525
3.5938137e-05,16,1,3.5938137e-05,645,0.752,0.5745614035087718,0.5786771490422227,0.6262907435701552,0.752,1746698522.6929424,1746698522.7492971,0.7928251121076233
4.641589e-06,16,3,0.0004641589,1024,0.7333333333333334,0.592690058479532,0.5984974855507098,0.6159692267426352,0.7333333333333334,1746698626.204123,1746698626.2640364,0.8053811659192824
4.641589e-06,256,3,3.5938137e-05,161,0.7573333333333334,0.5894736842105263,0.5976150485913978,0.642260101010101,0.7573333333333334,1746698741.0422142,1746698741.103572,0.7910313901345292
0.0021544348,256,3,0.00012915497,406,0.7653333333333333,0.6023391812865497,0.6135146781162184,0.6650500271908854,0.7653333333333333,1746698854.8733847,1746698854.9399326,0.7946188340807174
0.0021544348,256,3,0.00012915497,406,0.7653333333333333,0.6023391812865497,0.6135146781162184,0.6650500271908854,0.7653333333333333,1746698969.0511165,1746698969.1072717,0.7946188340807174
4.641589e-06,101,3,0.00012915497,1024,0.7546666666666666,0.5915204678362572,0.5988717114956174,0.6387251101156374,0.7546666666666666,1746699067.3232012,1746699067.3814266,0.8179372197309418
4.641589e-06,256,3,0.00012915497,1024,0.744,0.5959064327485379,0.604026180921191,0.6316512698339524,0.744,1746699200.9673648,1746699201.0243545,0.8071748878923767
4.641589e-06,64,3,0.00012915497,256,0.7626666666666666,0.6043859649122807,0.6146680269986509,0.6588264302864713,0.7626666666666666,1746699299.6558363,1746699299.7175982,0.8008968609865471
4.641589e-06,101,3,0.00012915497,256,0.7626666666666667,0.6043859649122807,0.6151362735329149,0.6577633477633478,0.7626666666666667,1746699494.1829345,1746699494.2403069,0.7999999999999999
4.641589e-06,256,3,0.00012915497,1024,0.744,0.5959064327485379,0.604026180921191,0.6316512698339524,0.744,1746699627.391054,1746699627.450837,0.8071748878923767
4.641589e-06,16,3,0.00012915497,1024,0.7386666666666666,0.5847953216374269,0.5906989536278532,0.6200028592000968,0.7386666666666666,1746699779.675838,1746699779.731605,0.8188340807174889
4.641589e-06,101,3,0.00012915497,161,0.7626666666666666,0.6005847953216374,0.6112589666441934,0.6591914413322996,0.7626666666666666,1746699943.2197962,1746699943.2806127,0.7901345291479821
4.641589e-06,101,3,0.00012915497,161,0.7626666666666666,0.6005847953216374,0.6112589666441934,0.6591914413322996,0.7626666666666666,1746700154.3491614,1746700154.4091537,0.7901345291479821
4.641589e-06,101,3,0.00012915497,1024,0.7546666666666666,0.5915204678362572,0.5988717114956174,0.6387251101156374,0.7546666666666666,1746700289.731306,1746700289.7947934,0.8179372197309418
4.641589e-06,4,3,0.00012915497,1024,0.7306666666666667,0.5833333333333333,0.5859734384610092,0.6057457736158625,0.7306666666666667,1746700462.2184355,1746700462.2774308,0.8116591928251122
4.641589e-06,101,3,0.00012915497,1024,0.7546666666666666,0.5915204678362572,0.5988717114956174,0.6387251101156374,0.7546666666666666,1746700689.9041922,1746700689.9629889,0.8179372197309418
4.641589e-06,101,3,0.00012915497,1024,0.7546666666666666,0.5915204678362572,0.5988717114956174,0.6387251101156374,0.7546666666666666,1746700863.639147,1746700863.700731,0.8179372197309418
4.641589e-06,40,3,0.00012915497,1024,0.7413333333333334,0.5865497076023392,0.5934528098714581,0.6201377104849144,0.7413333333333334,1746701047.7141104,1746701047.7746775,0.8125560538116592
4.641589e-06,256,3,0.00012915497,1024,0.744,0.5959064327485379,0.604026180921191,0.6316512698339524,0.744,1746701220.1194355,1746701220.1800218,0.8071748878923767
4.641589e-06,101,3,0.00012915497,1024,0.7546666666666666,0.5915204678362572,0.5988717114956174,0.6387251101156374,0.7546666666666666,1746701403.6744523,1746701403.7323592,0.8179372197309418
4.641589e-06,16,3,0.00012915497,1024,0.7386666666666666,0.5847953216374269,0.5906989536278532,0.6200028592000968,0.7386666666666666,1746701629.1616802,1746701629.2204962,0.8188340807174889
4.641589e-06,101,3,0.00012915497,1024,0.7546666666666666,0.5915204678362572,0.5988717114956174,0.6387251101156374,0.7546666666666666,1746701819.1599727,1746701819.217476,0.8179372197309418
4.641589e-06,256,3,0.00012915497,1024,0.744,0.5959064327485379,0.604026180921191,0.6316512698339524,0.744,1746701961.808645,1746701961.8678477,0.8071748878923767
4.641589e-06,16,3,0.00012915497,1024,0.7386666666666666,0.5847953216374269,0.5906989536278532,0.6200028592000968,0.7386666666666666,1746702120.217665,1746702120.2750323,0.8188340807174889
4.641589e-06,101,3,0.00012915497,1024,0.7546666666666666,0.5915204678362572,0.5988717114956174,0.6387251101156374,0.7546666666666666,1746702271.2248607,1746702271.2848995,0.8179372197309418
4.641589e-06,101,3,0.00012915497,1024,0.7546666666666666,0.5915204678362572,0.5988717114956174,0.6387251101156374,0.7546666666666666,1746702399.9178529,1746702399.9751153,0.8179372197309418
4.641589e-06,101,3,0.00012915497,1024,0.7546666666666666,0.5915204678362572,0.5988717114956174,0.6387251101156374,0.7546666666666666,1746702567.9607706,1746702568.017158,0.8179372197309418
4.641589e-06,256,3,0.00012915497,1024,0.744,0.5959064327485379,0.604026180921191,0.6316512698339524,0.744,1746702702.4197133,1746702702.4779508,0.8071748878923767
4.641589e-06,64,3,0.00012915497,256,0.7626666666666666,0.6043859649122807,0.6146680269986509,0.6588264302864713,0.7626666666666666,1746702866.599003,1746702866.6576955,0.8008968609865471
4.641589e-06,101,3,0.00012915497,1024,0.7546666666666666,0.5915204678362572,0.5988717114956174,0.6387251101156374,0.7546666666666666,1746703044.1207557,1746703044.1814268,0.8179372197309418
4.641589e-06,64,3,0.00012915497,1024,0.7306666666666666,0.5795321637426901,0.5833060782999273,0.602962577821276,0.7306666666666666,1746703216.840095,1746703216.8963223,0.8116591928251122
4.641589e-06,40,3,0.00012915497,256,0.7653333333333334,0.606140350877193,0.6169237384706758,0.664685016145057,0.7653333333333334,1746703400.016692,1746703400.0780826,0.8089686098654708
4.641589e-06,101,3,0.00012915497,1024,0.7546666666666666,0.5915204678362572,0.5988717114956174,0.6387251101156374,0.7546666666666666,1746703599.692861,1746703599.7619424,0.8179372197309418
4.641589e-06,40,3,0.00012915497,1024,0.7413333333333334,0.5865497076023392,0.5934528098714581,0.6201377104849144,0.7413333333333334,1746703738.3440113,1746703738.4022703,0.8125560538116592
4.641589e-06,101,3,0.00012915497,1024,0.7546666666666666,0.5915204678362572,0.5988717114956174,0.6387251101156374,0.7546666666666666,1746703950.3619592,1746703950.4168706,0.8179372197309418
4.641589e-06,40,3,0.00012915497,1024,0.7413333333333334,0.5865497076023392,0.5934528098714581,0.6201377104849144,0.7413333333333334,1746704139.6387796,1746704139.699488,0.8125560538116592
0.00027825593,4,3,0.00012915497,1024,0.7306666666666666,0.5909356725146199,0.5952932704836407,0.6100935669791603,0.7306666666666666,1746704380.4883816,1746704380.546349,0.8080717488789239
4.641589e-06,16,3,0.00012915497,1024,0.7386666666666666,0.5847953216374269,0.5906989536278532,0.6200028592000968,0.7386666666666666,1746704603.5046484,1746704603.5617163,0.8188340807174889
4.641589e-06,101,3,0.00012915497,1024,0.7546666666666666,0.5915204678362572,0.5988717114956174,0.6387251101156374,0.7546666666666666,1746704792.96972,1746704793.0249348,0.8179372197309418
4.641589e-06,40,3,0.00012915497,1024,0.7413333333333334,0.5865497076023392,0.5934528098714581,0.6201377104849144,0.7413333333333334,1746704975.6762147,1746704975.7311301,0.8125560538116592
4.641589e-06,16,3,0.00012915497,1024,0.7386666666666666,0.5847953216374269,0.5906989536278532,0.6200028592000968,0.7386666666666666,1746705143.368755,1746705143.424616,0.8188340807174889
4.641589e-06,16,3,0.00012915497,1024,0.7386666666666666,0.5847953216374269,0.5906989536278532,0.6200028592000968,0.7386666666666666,1746705335.5872633,1746705335.6467483,0.8188340807174889
4.641589e-06,16,3,0.00012915497,1024,0.7386666666666666,0.5847953216374269,0.5906989536278532,0.6200028592000968,0.7386666666666666,1746705517.1981964,1746705517.2565472,0.8188340807174889
4.641589e-06,64,3,0.00012915497,1024,0.7306666666666666,0.5795321637426901,0.5833060782999273,0.602962577821276,0.7306666666666666,1746705687.3801181,1746705687.435549,0.8116591928251122
4.641589e-06,101,3,0.00012915497,1024,0.7546666666666666,0.5915204678362572,0.5988717114956174,0.6387251101156374,0.7546666666666666,1746705874.8356934,1746705874.904061,0.8179372197309418
4.641589e-06,40,3,0.00012915497,1024,0.7413333333333334,0.5865497076023392,0.5934528098714581,0.6201377104849144,0.7413333333333334,1746706027.3121572,1746706027.3695693,0.8125560538116592
4.641589e-06,40,3,0.00012915497,1024,0.7413333333333334,0.5865497076023392,0.5934528098714581,0.6201377104849144,0.7413333333333334,1746706160.2932925,1746706160.351181,0.8125560538116592
4.641589e-06,16,3,0.00012915497,1024,0.7386666666666666,0.5847953216374269,0.5906989536278532,0.6200028592000968,0.7386666666666666,1746706302.710678,1746706302.768326,0.8188340807174889
